sentence,true_label,vader_pred,finbert_pred,vader_compound,finbert_confidence,true_label_str,vader_pred_str,finbert_pred_str,vader_correct,finbert_correct,models_disagree,category
"Following the issue , the number of shares in the Swedish company will grow by 9 % .",1,2,2,0.3612000048160553,0.8917497396469116,neutral,positive,positive,False,False,False,finbert_overconfident_wrong
The electricity requirement of networks will grow with the new mobile generation .,1,1,2,0.0,0.8857734799385071,neutral,neutral,positive,True,False,True,finbert_overconfident_wrong
"In the fourth quarter of 2006 , OKO Banks expects the operating environment for Banking and Investment Services to remain similar to that in January-September 2006 .",1,1,2,0.0,0.8709604740142822,neutral,neutral,positive,True,False,True,finbert_overconfident_wrong
The group reiterated its forecast that handset manufacturers will sell around 915 mln units this year globally .,1,1,2,0.0,0.8271640539169312,neutral,neutral,positive,True,False,True,finbert_overconfident_wrong
"Fortum needs a clear signal of commitment from the Government that the permit is available before the company will start the next round , Kuula says .",1,2,2,0.636900007724762,0.8227226138114929,neutral,positive,positive,False,False,False,finbert_overconfident_wrong
"To showcase our end-to-end capabilities at the Mobile World Congress , we arranged an internal MeeGo application development competition to entice developers to create new applications .",1,2,2,0.27320000529289246,0.7983807325363159,neutral,positive,positive,False,False,False,finbert_overconfident_wrong
"F-Secure reported that : - The first half of 2008 has seen a growing number of targeted malware attacks on individuals , companies , and organizations .",1,0,0,-0.22630000114440918,0.7862293720245361,neutral,negative,negative,False,False,False,finbert_overconfident_wrong
Aldata to Share Space Optimization Vision at Apollo User Group and 2009 Category Management Association Conferences ; Company Will Unveil New Solution that Combines Business Intelligence with Space Planning Data at Conferences,1,2,2,0.8806999921798706,0.7230040431022644,neutral,positive,positive,False,False,False,finbert_overconfident_wrong
You are warmly welcome !,1,2,2,0.7177000045776367,0.7167433500289917,neutral,positive,positive,False,False,False,finbert_overconfident_wrong
"According to Saarioinen 's Managing Director Ilkka M+ñkel+ñ , the food industry sector has a significant excess of production machinery .",1,2,0,0.20229999721050262,0.7088017463684082,neutral,positive,negative,False,False,True,finbert_overconfident_wrong
"The contract covers turnkey deliveries to all five airports operated by the authority -- John F Kennedy , LaGuardia , Newark , Teterboro and Stewart International .",1,2,2,0.07720000296831131,0.6952191591262817,neutral,positive,positive,False,False,False,finbert_overconfident_wrong
"The share sale , to foreign and Finnish investors , is expected to raise some euro300 million ( US$ 380 million ) .",1,2,2,0.29600000381469727,0.6936652064323425,neutral,positive,positive,False,False,False,finbert_overconfident_wrong
"Seppala 's revenue increased by 0.2 % to EUR10 .1 m. In Finland , revenue went down by 2.4 % to EUR6 .8 m , while sales abroad rose by 6.2 % to EUR3 .3 m. Sales increased in all the Baltic countries as well as in Russia and Ukraine .",2,2,0,0.6485999822616577,0.6781303882598877,positive,positive,negative,True,False,True,finbert_overconfident_wrong
"So far the company has awarded more than $ 350,000 worth of tools and materials .",1,2,2,0.5573999881744385,0.676478385925293,neutral,positive,positive,False,False,False,finbert_overconfident_wrong
"Uncertainties still exist , however .",1,0,1,-0.3400000035762787,0.47317028045654297,neutral,negative,neutral,False,True,True,finbert_underconfident_right
The main strength of the cooperation project lies in merging the know-how of two large companies .,2,2,2,0.10270000249147415,0.49655598402023315,positive,positive,positive,True,True,False,finbert_underconfident_right
BioTie North-American licensing partner Somaxon Pharmaceuticals started a phase II-III clinical study in patients suffering from pathological gambling and a pilot phase II study in nicotine addiction smoking cessation .,1,0,1,-0.4767000079154968,0.5062452554702759,neutral,negative,neutral,False,True,True,finbert_underconfident_right
The company is reportedly searching for a replacement for CEO Olli-Pekka Kallasvuo .,1,1,1,0.0,0.5133618116378784,neutral,neutral,neutral,True,True,False,finbert_underconfident_right
Sanoma Corporation wants a new and better frequency for the Helsinki metropolitan area .,1,2,1,0.44040000438690186,0.522554874420166,neutral,positive,neutral,False,True,True,finbert_underconfident_right
"The sale will result in a capital loss of EUR5m for Solidium , which obtained Tikkurila shares in March 2010 .",0,1,0,-0.025800000876188278,0.5353636741638184,negative,neutral,negative,False,True,True,finbert_underconfident_right
"This action follows personnel negotiations concerning Elcoteq SE , Finnish Branch , Elcoteq Finland Oy and Elcoteq Design Center Oy .",1,1,1,0.0,0.5467807054519653,neutral,neutral,neutral,True,True,False,finbert_underconfident_right
"The value of the deal exceeds EUR500 ,000 , the company said .",1,2,1,0.3400000035762787,0.5471413135528564,neutral,positive,neutral,False,True,True,finbert_underconfident_right
`` The new unit is a major investment in the Finnish media scene .,1,1,1,0.0,0.5541641116142273,neutral,neutral,neutral,True,True,False,finbert_underconfident_right
The other deal is for process cranes to the Russian steel mill PNTZ in Pervorouralsky through an order placed by Turkish construction company Gama Endustri Tesisleri Imalat ve Montaj AS .,1,1,1,0.0,0.5879952311515808,neutral,neutral,neutral,True,True,False,finbert_underconfident_right
The company expects to open its first online shop in the US in the summer in 2011 .,1,1,1,0.0,0.588951051235199,neutral,neutral,neutral,True,True,False,finbert_underconfident_right
Recently the company decided to build a second identical plant at the same site due to be commissioned toward the end of 2008 .,1,1,1,0.0,0.5896974802017212,neutral,neutral,neutral,True,True,False,finbert_underconfident_right
"When completed , the 120-meter Watchtower will be the highest building in Ireland .",1,1,1,0.0,0.5907604098320007,neutral,neutral,neutral,True,True,False,finbert_underconfident_right
"At the same time , the market for automated liquid handling devices is already larger than that for pipettes , according to Biohit .",1,1,1,0.0,0.5976346731185913,neutral,neutral,neutral,True,True,False,finbert_underconfident_right
"A corresponding increase of 85,432.50 euros in Ahlstrom 's share capital has been entered in the Trade Register today .",1,2,1,0.5422999858856201,0.6065973043441772,neutral,positive,neutral,False,True,True,finbert_underconfident_right
The company also equipped the sculptural complex Rabochy i Kolkhoznitsa A Worker and a Collective Farmer in Moscow with snow melting system .,1,1,1,0.0,0.6231188774108887,neutral,neutral,neutral,True,True,False,finbert_underconfident_right
A few employees would remain at the Oulu plant in support functions for other group units .,1,2,1,0.4018999934196472,0.6281907558441162,neutral,positive,neutral,False,True,True,finbert_underconfident_right
"It holds 38 percent of Outokumpu 's shares and voting rights , but in 2001 lawmakers gave it permission to reduce the stake to 10 percent .",1,2,1,0.15309999883174896,0.6283162832260132,neutral,positive,neutral,False,True,True,finbert_underconfident_right
"Aldata Solution , a global company engaged in supplier to consumer business process optimization , has announced the details of its Dollars for Dinosaurs program .",1,2,1,0.7649999856948853,0.6423870921134949,neutral,positive,neutral,False,True,True,finbert_underconfident_right
Nordea was the cheapest also for a couple in their 30s with debt .,1,0,1,-0.3612000048160553,0.6522654294967651,neutral,negative,neutral,False,True,True,finbert_underconfident_right
